APP_NUMBER,AMOUNT_FUNDED,INDUSTRY,COUNTRY,ANNUAL_REVENUE,YEARS_IN_BUS,FUNDED_DATE
CD2106170997,50395,CONSTRUCTION,USA,"Over 10,000,000",10+ years,6/25/2021
CD2111040969,29835.5,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,11/10/2021
CD2202040957,179263.25,CONSTRUCTION,CAN,"500,000 - 1,000,000",8 years,3/23/2022
CD2110191226,52035,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,10/20/2021
CD2203180728,23590,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,4/12/2022
CD2105250753,62780,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,7/27/2021
CD2202111066,18011.25,CONSTRUCTION,USA,"1,000,000 - 5,000,000",3 years,3/22/2022
CD2110191241,23497.85,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,12/15/2021
CD2106170928,27082.09,CONSTRUCTION,USA,"Under 250,000",10+ years,6/24/2021
CD2202251001,152138.16,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/2/2022
CD2202111093,27245.4,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,3/17/2022
CD2110201110,97579.16,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2109170050,143509.5,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,10/1/2021
CD2202251066,61846.46,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,4/28/2022
CD2202100937,37542.85,CONSTRUCTION,CAN,"Under 250,000",2 years,3/10/2022
CD2111100877,41933.68,AGRICULTURE,USA,"1,000,000 - 5,000,000",10+ years,2/16/2022
CD2106170957,256268,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",8 years,7/30/2021
CD2105251126,80125.81,AGRICULTURE,USA,"500,000 - 1,000,000",10+ years,6/7/2021
CD2202100951,26380.61,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/16/2022
CD2110191282,89407.5,CONSTRUCTION,USA,"Over 10,000,000",10+ years,10/27/2021
CD2106170941,109709,CONSTRUCTION,USA,"Over 10,000,000",8 years,6/25/2021
CD2105250979,9985.91,CONSTRUCTION,USA,"250,000 - 500,000",2 years,5/31/2021
CD2202100895,93279.84,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/25/2022
CD2110200589,26658.89,CONSTRUCTION,USA,"Under 250,000",4 years,11/24/2021
CD2106170971,251295,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",8 years,7/30/2021
CD2105251086,42231.46,CONSTRUCTION,USA,"Over 10,000,000",6 years,5/31/2021
CD2103031229,13601.17,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,4/30/2021
CD2111100734,35327.4,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,12/20/2021
CD2203180504,133440.39,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/23/2022
CD2105251184,39530,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,5/27/2021
CD2103031253,18732.5,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,3/5/2021
CD2110191221,40474,MATERIAL HANDLING,USA,"1,000,000 - 5,000,000",4 years,11/3/2021
CD2203180819,15183.22,CONSTRUCTION,USA,"500,000 - 1,000,000",5 years,3/21/2022
CD2112070882,112758.83,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,3/7/2022
CD2103191111,136374.38,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,3/31/2021
CD2110191250,97866.6,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,11/23/2021
CD2203180552,31140.38,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",9 years,4/7/2022
CD2111041192,65761.36,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/9/2021
CD2103040006,23248.48,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",4 years,3/8/2021
CD2110200675,21260,AGRICULTURE,CAN,"Under 250,000",7 years,3/28/2022
CD2204041209,21409,CONSTRUCTION,USA,"Under 250,000",1 year,4/7/2022
CD2106101323,29817.97,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,6/15/2021
CD2103031277,34398.64,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",7 years,3/23/2021
CD2110200690,51730,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,11/4/2021
CD2203180906,27286.25,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",4 years,3/25/2022
CD2111041090,183825,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,11/16/2021
CD2103031268,25646.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/4/2021
CD2110200418,68035,OTHER,CAN,"1,000,000 - 5,000,000",7 years,10/28/2021
CD2203180736,13215,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,4/20/2022
CD2112070783,167985,CONSTRUCTION,USA,"Over 10,000,000",8 years,12/10/2021
CD2103031260,46930.71,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,3/8/2021
CD2203301497,44113.25,OTHER,USA,"1,000,000 - 5,000,000",6 years,4/4/2022
CD2204040983,111808.85,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,4/7/2022
CD2105251331,18681.95,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,9/16/2021
CD2103030509,21345,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,3/4/2021
CD2110200412,125750,CONSTRUCTION,CAN,"Under 250,000",10+ years,11/23/2021
CD2204121257,98750,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,4/22/2022
CD2112070455,49361,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,12/30/2021
CD2103030585,63356,CONSTRUCTION,CAN,"250,000 - 500,000",9 years,3/12/2021
CD2203301597,19760,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,4/1/2022
CD2205111282,66259.28,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/13/2022
CD2112071103,437450.3,FORESTRY,CAN,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2103030556,23532,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,3/26/2021
CD2110200693,38033.05,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,10/22/2021
CD2203280595,18011.98,CONSTRUCTION,USA,"Under 250,000",3 years,3/29/2022
CD2105260517,60100,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,5/31/2021
CD2202101087,90295,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,4/20/2022
CD2110200468,34286.63,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,10/25/2021
CD2106171015,62595.51,MATERIAL HANDLING,USA,"1,000,000 - 5,000,000",10+ years,6/24/2021
CD2105260297,34683.04,OTHER,USA,"1,000,000 - 5,000,000",10+ years,6/30/2021
CD2204250440,71691.09,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,5/10/2022
CD2110250316,137535,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,11/4/2021
CD2203181253,111990,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",10+ years,3/25/2022
CD2112070831,34433.84,CONSTRUCTION,USA,"Under 250,000",10+ years,2/9/2022
CD2103030552,44938,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,3/11/2021
CD2111100978,18432.4,AGRICULTURE,USA,"250,000 - 500,000",0 years,2/17/2022
CD2110260803,15549.76,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,11/3/2021
CD2105251043,41704.6,OTHER,USA,"250,000 - 500,000",10+ years,5/28/2021
CD2103030521,86242.94,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,3/16/2021
CD2110210247,29750,CONSTRUCTION,CAN,"Under 250,000",3 years,10/27/2021
CD2107270309,68300.22,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,7/29/2021
CD2112070718,39550.5,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,12/13/2021
CD2103030527,29190.4,CONSTRUCTION,CAN,"Under 250,000",10+ years,3/31/2021
CD2203301480,104028,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,4/1/2022
CD2108310390,40982.42,CONSTRUCTION,USA,"500,000 - 1,000,000",5 years,10/20/2021
CD2106041009,26995,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,6/22/2021
CD2103030501,41802.68,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,3/24/2021
CD2110250127,27940,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",3 years,11/23/2021
CD2107270936,42880,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,10/12/2021
CD2111041268,82595,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,1/14/2022
CD2103030541,49694.11,OTHER,CAN,"250,000 - 500,000",4 years,3/19/2021
CD2110250421,89594.64,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",6 years,12/3/2021
CD2107270820,194132,CONSTRUCTION,USA,"5,000,000 - 10,000,000",5 years,10/8/2021
CD2106040942,70135,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,6/11/2021
CD2202100810,230385.06,CONSTRUCTION,USA,"1,000,000 - 5,000,000",7 years,2/15/2022
CD2110210460,52985,CONSTRUCTION,USA,"500,000 - 1,000,000",4 years,11/19/2021
CD2108310547,77808.86,CONSTRUCTION,USA,"Over 10,000,000",10+ years,9/2/2021
CD2112070981,175000,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,1/31/2022
CD2202100971,87369.92,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,2/24/2022
CD2110200630,77003,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,11/29/2021
CD2107270876,119080,AGRICULTURE,USA,"1,000,000 - 5,000,000",10+ years,7/30/2021
CD2112071101,26467.13,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,1/18/2022
CD2103191129,42592.25,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/9/2021
CD2112021362,55294,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",3 years,12/6/2021
CD2108310452,32147.69,MINING,USA,"Under 250,000",5 years,9/3/2021
CD2101250912,13840,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",8 years,2/3/2021
CD2103040109,114664.35,FORESTRY,USA,"250,000 - 500,000",9 years,3/16/2021
CD2111100853,129633,MINING,CAN,"500,000 - 1,000,000",10+ years,5/10/2022
CD2110260522,279415,FORESTRY,CAN,"1,000,000 - 5,000,000",10+ years,11/8/2021
CD2106040958,112200,RENTAL COMPANY,USA,"5,000,000 - 10,000,000",8 years,6/8/2021
CD2103050522,21860,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/9/2021
CD2112030467,50790,CONSTRUCTION,USA,"Under 250,000",8 years,2/15/2022
CD2110260951,25760,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,11/15/2021
CD2112071091,41657.21,CONSTRUCTION,USA,"500,000 - 1,000,000",8 years,12/8/2021
CD2103220505,76890.74,SHORT-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",5 years,4/5/2021
CD2110250396,36545,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,10/27/2021
CD2107270823,49957.5,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,11/18/2021
CD2111050295,23146.5,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,11/15/2021
CD2103200131,43160.82,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,3/26/2021
CD2110210394,56275.63,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,12/16/2021
CD2107271027,40152,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,8/26/2021
CD2112070894,22367.21,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,12/17/2021
CD2202110601,80264.16,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,2/25/2022
CD2111170174,37234.21,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",8 years,12/10/2021
CD2109010488,17330,CONSTRUCTION,CAN,"250,000 - 500,000",4 years,9/13/2021
CD2201180488,276345,CONSTRUCTION,USA,"250,000 - 500,000",6 years,2/23/2022
CD2112060735,103508.1,CONSTRUCTION,USA,"1,000,000 - 5,000,000",5 years,12/6/2021
CD2112030470,166295,CONSTRUCTION,USA,"Under 250,000",10+ years,12/8/2021
CD2107090344,14425.38,CONSTRUCTION,USA,"Under 250,000",5 years,9/27/2021
CD2106101316,19957.96,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",6 years,6/15/2021
CD2112060895,50995,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,3/31/2022
CD2112030663,38557.65,CONSTRUCTION,CAN,"500,000 - 1,000,000",9 years,1/5/2022
CD2110260362,68835,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2112071035,73600,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,12/20/2021
CD2112060615,54605.89,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/10/2021
CD2111181680,49055,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,11/29/2021
CD2107090803,114549,CONSTRUCTION,USA,"5,000,000 - 10,000,000",4 years,8/23/2021
CD2112220165,174205,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",8 years,1/4/2022
CD2112060709,76995,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/13/2022
CD2203310429,38114.19,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,4/4/2022
CD2108310425,318835,MANUFACTURING,USA,"Over 10,000,000",10+ years,9/22/2021
CD2106040965,22820.45,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,6/14/2021
CD2202100846,263280.32,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/1/2022
CD2203310354,14435,CONSTRUCTION,USA,"Under 250,000",3 years,4/1/2022
CD2107280589,249949.8,FORESTRY,CAN,"Under 250,000",10+ years,9/10/2021
CD2105260084,16372.5,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,7/30/2021
CD2202101344,44561.25,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",8 years,2/28/2022
CD2111161321,29985,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,12/13/2021
CD2107090810,120086,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,7/13/2021
CD2112071126,46643.72,CONSTRUCTION,CAN,"Under 250,000",10+ years,12/17/2021
CD2112060636,32735.31,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,3/16/2022
CD2112290600,43144,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/30/2021
CD2108310441,46653,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",4 years,9/10/2021
CD2201180536,173680.65,CONSTRUCTION,USA,"500,000 - 1,000,000",5 years,2/4/2022
CD2202100926,130722.04,CONSTRUCTION,USA,"Over 10,000,000",8 years,2/24/2022
CD2112030828,77062,CONSTRUCTION,CAN,"Under 250,000",2 years,12/24/2021
CD2107090745,16370,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",2 years,7/19/2021
CD2201180479,169395,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",7 years,2/17/2022
CD2202110418,73300.93,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,2/28/2022
CD2203310326,43041.36,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,4/5/2022
CD2107090608,187967.4,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,7/20/2021
CD2105260132,17595,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,8/31/2021
CD2202110445,76295,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,2/28/2022
CD2111220241,73102.28,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,12/7/2021
CD2109010441,18212,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,10/7/2021
CD2101250939,78491.5,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,2/3/2021
CD2112060350,38845,OTHER,USA,"250,000 - 500,000",2 years,12/8/2021
CD2111181688,153814.01,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,11/23/2021
CD2109010531,37512.5,OTHER,USA,"500,000 - 1,000,000",10+ years,9/30/2021
CD2105260122,33393.14,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,6/17/2021
CD2103221230,64927.4,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/25/2021
CD2111170004,40425.88,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",3 years,2/15/2022
CD2109010676,24495.61,CONSTRUCTION,USA,"Under 250,000",10+ years,11/9/2021
CD2112071021,56756.79,AGGREGATE,USA,"1,000,000 - 5,000,000",4 years,12/30/2021
CD2103221225,18579.14,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",7 years,3/26/2021
CD2203310409,42189.23,CONSTRUCTION,USA,"500,000 - 1,000,000",4 years,4/6/2022
CD2110260726,24200,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,1/11/2022
CD2106101331,49478.42,CONSTRUCTION,USA,"Under 250,000",10+ years,6/15/2021
CD2202100811,28230,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",7 years,3/7/2022
CD2111161381,44601.8,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",9 years,5/16/2022
CD2107090659,35071.75,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",3 years,7/30/2021
CD2105260107,29026.21,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",8 years,5/28/2021
CD2204250596,183180.5,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,4/29/2022
CD2203310398,48347.25,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",10+ years,4/4/2022
CD2110260270,59000,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/2/2021
CD2106031033,32445,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,6/8/2021
CD2202101329,31305.85,CONSTRUCTION,USA,"Under 250,000",6 years,4/18/2022
CD2203310380,36034.59,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",7 years,5/10/2022
CD2110260527,133862,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,12/15/2021
CD2101260034,58995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/28/2021
CD2202110592,32045.03,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",9 years,2/17/2022
CD2112030561,113153.83,DEALER,USA,"1,000,000 - 5,000,000",5 years,12/15/2021
CD2107300654,50474.3,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,9/13/2021
CD2202250431,56749.14,OTHER,USA,"Under 250,000",3 years,3/2/2022
CD2103031179,32035.5,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,3/23/2021
CD2111180951,21601.85,OTHER,USA,"500,000 - 1,000,000",5 years,3/4/2022
CD2107090913,45443.82,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,9/8/2021
CD2111050510,19495,AGRICULTURE,CAN,"Under 250,000",9 years,11/23/2021
CD2103031071,68466.71,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",4 years,3/4/2021
CD2110250524,86624,LONG-HAUL TRANSPORTATION,CAN,"5,000,000 - 10,000,000",10+ years,11/16/2021
CD2109270908,49709.4,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/29/2021
CD2202250438,28256,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,3/3/2022
CD2103031034,122515,MATERIAL HANDLING,USA,"1,000,000 - 5,000,000",10+ years,3/11/2021
CD2111161329,62462,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2107280867,20995,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,12/14/2021
CD2111050380,33600,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,12/9/2021
CD2204250641,95017,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,5/5/2022
CD2110211244,179607.64,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,10/27/2021
CD2107090925,65805.71,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",9 years,7/28/2021
CD2202250593,48045,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,4/18/2022
CD2103031144,34665.24,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/31/2021
CD2110250452,100000,MINING,CAN,"1,000,000 - 5,000,000",10+ years,11/2/2021
CD2109141095,52535,OTHER,USA,"1,000,000 - 5,000,000",10+ years,9/15/2021
CD2111050499,201145,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,2/23/2022
CD2202110639,82537.24,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,3/3/2022
CD2111161009,527995,FORESTRY,USA,"Over 10,000,000",10+ years,12/7/2021
CD2109010640,83985,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,9/7/2021
CD2106030990,22500,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,7/21/2021
CD2202101212,37900.33,CONSTRUCTION,USA,"Over 10,000,000",10+ years,2/25/2022
CD2110250278,46495,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,1/5/2022
CD2107280546,38845.72,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,8/4/2021
CD2101260009,47982.05,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,11/12/2021
CD2103031046,16993.8,CONSTRUCTION,USA,"Under 250,000",4 years,3/12/2021
CD2112021445,36361.63,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/31/2022
CD2107280878,175377.2,CONSTRUCTION,USA,"1,000,000 - 5,000,000",4 years,8/17/2021
CD2111050267,34343.64,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,11/18/2021
CD2103031060,47438.77,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/30/2021
CD2111161366,136295,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,11/18/2021
CD2109010648,18140,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,10/5/2021
CD2201180592,41795,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,2/24/2022
CD2103031044,27600,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/7/2021
CD2112290518,31920,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,1/31/2022
CD2106211028,39453.75,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,6/30/2021
CD2201180642,306294.36,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/22/2022
CD2103031141,34218.43,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/11/2021
CD2111180883,137842.8,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,11/29/2021
CD2106210998,9245.97,OTHER,USA,"Under 250,000",5 years,6/30/2021
CD2201180728,73906.14,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,2/28/2022
CD2103031111,46204.35,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,3/4/2021
CD2112030110,101072.7,OTHER,CAN,"Under 250,000",10+ years,12/6/2021
CD2106210832,269995,CONSTRUCTION,USA,"Over 10,000,000",10+ years,9/2/2021
CD2111050718,56424.5,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,11/10/2021
CD2204251187,47231.25,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,5/5/2022
CD2110250260,30829.6,AGGREGATE,CAN,"250,000 - 500,000",10+ years,11/1/2021
CD2106210889,102950,OTHER,USA,"1,000,000 - 5,000,000",10+ years,7/6/2021
CD2106031106,49000,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,7/7/2021
CD2204250545,28447.81,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/4/2022
CD2110211117,42978.1,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,10/22/2021
CD2106211004,18600.25,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,6/24/2021
CD2111050337,40238.98,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,12/17/2021
CD2103031055,69785,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,3/26/2021
CD2111161359,57845,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,12/15/2021
CD2203210515,152495,MINING,USA,"1,000,000 - 5,000,000",10+ years,3/25/2022
CD2106031092,47285,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",6 years,6/14/2021
CD2202101273,28955.79,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,2/16/2022
CD2111180930,84595,CONSTRUCTION,USA,"250,000 - 500,000",7 years,11/30/2021
CD2106210831,40961.2,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,9/24/2021
CD2105260513,167435,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,6/10/2021
CD2204250996,36292.85,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",9 years,5/6/2022
CD2110250270,79649.8,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,11/19/2021
CD2106211017,23568.3,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",8 years,7/21/2021
CD2111050590,36528.67,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,12/21/2021
CD2202110976,45428.3,CONSTRUCTION,CAN,"250,000 - 500,000",4 years,3/29/2022
CD2110250646,37416.85,CONSTRUCTION,CAN,"Under 250,000",10+ years,10/27/2021
CD2106210954,39957.66,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,6/28/2021
CD2111050279,253820,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,11/17/2021
CD2202050019,45132,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/2/2022
CD2110250349,280625,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",6 years,10/29/2021
CD2106210912,47950.42,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",9 years,6/30/2021
CD2111050297,6820.88,CONSTRUCTION,USA,"Under 250,000",1 year,11/10/2021
CD2104230625,286645,CONSTRUCTION,USA,"Over 10,000,000",10+ years,4/29/2021
CD2112030761,10526.09,OTHER,USA,"500,000 - 1,000,000",10+ years,12/8/2021
CD2107290421,17089.29,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,8/3/2021
CD2111050851,72000,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",7 years,11/16/2021
CD2202210602,50332.2,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",2 years,3/4/2022
